City_ID,City,Country,id,lat,lon,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),dt
123,Petropavlovsk-Kamchatskiy,RU,2122104,53.0452,158.6483,55.99,100,100,2.24,08/22/2022
124,Tigil',RU,2120612,57.8,158.6667,58.35,88,100,5.1,08/22/2022
125,Zyryanka,RU,2119283,65.75,150.85,55.96,91,100,5.73,08/22/2022
126,Nelson Bay,AU,2155562,-32.7167,152.15,61.0,89,88,1.99,08/22/2022
127,Nadym,RU,1498087,65.5333,72.5167,70.54,65,100,4.27,08/22/2022
128,Haputale,LK,1244713,6.7681,80.9595,66.07,78,100,8.03,08/22/2022
129,Mandalī,IQ,93709,33.7499,45.5541,107.2,7,0,5.32,08/22/2022
130,Adrar,MR,2381972,20.5022,-10.0711,101.07,20,14,5.7,08/22/2022
131,Susa,IR,114593,32.1942,48.2436,111.7,7,0,18.45,08/22/2022
132,Busselton,AU,2075265,-33.65,115.3333,48.87,76,3,9.84,08/22/2022
133,Bredasdorp,ZA,1015776,-34.5322,20.0403,63.95,54,6,9.75,08/22/2022
134,Camaná,PE,3945985,-16.6228,-72.7111,61.47,71,40,6.82,08/22/2022
135,Taoudenni,ML,2450173,22.6783,-3.9836,114.13,7,0,9.8,08/22/2022
136,Nouakchott,MR,2377450,18.0858,-15.9785,85.93,69,16,13.31,08/22/2022
137,Tiksi,RU,2015306,71.6872,128.8694,38.55,88,100,12.08,08/22/2022
138,Camacha,PT,2270385,33.0833,-16.3333,71.02,78,75,16.11,08/22/2022
139,Cururupu,BR,3401148,-1.8283,-44.8683,86.76,52,75,5.66,08/22/2022
140,Tasiilaq,GL,3424607,65.6145,-37.6368,48.36,84,94,2.64,08/22/2022
141,Deputatsky,RU,2028164,69.3,139.9,49.24,95,100,1.92,08/22/2022
142,Port-Cartier,CA,6111696,50.0334,-66.8654,65.88,90,100,9.48,08/22/2022
143,Luanda,AO,2240449,-8.8368,13.2343,77.0,69,20,8.05,08/22/2022
144,Hobyo,SO,57000,5.3505,48.5268,80.35,62,3,31.99,08/22/2022
145,Yerbogachën,RU,2012956,61.2767,108.0108,48.02,92,100,4.65,08/22/2022
146,Port Elizabeth,ZA,964420,-33.918,25.5701,67.1,66,100,4.0,08/22/2022
147,Wabag,PG,2084246,-5.4781,143.7021,54.64,96,81,0.34,08/22/2022
148,Meulaboh,ID,1214488,4.1363,96.1285,78.78,83,100,8.75,08/22/2022
149,Dikson,RU,1507390,73.5069,80.5464,43.07,96,100,15.41,08/22/2022
150,Bilma,NE,2446796,18.6853,12.9164,98.76,29,16,19.73,08/22/2022
151,Berlevåg,NO,780687,70.8578,29.0864,68.0,68,100,21.85,08/22/2022
152,Broome,US,5110365,42.2506,-75.833,69.21,96,75,8.05,08/22/2022
153,Ulkan,RU,2020208,57.243,107.3223,49.01,96,100,4.7,08/22/2022
154,Saint Paul Harbor,US,5866583,57.79,-152.4072,54.91,94,100,26.46,08/22/2022
155,Mandan,US,5690366,46.8267,-100.8896,69.01,79,20,9.22,08/22/2022
156,Matara,LK,1235846,5.9485,80.5353,79.3,84,100,13.62,08/22/2022
157,Souillac,MU,933995,-20.5167,57.5167,73.78,73,40,12.66,08/22/2022
158,Mahébourg,MU,934322,-20.4081,57.7,74.25,67,7,13.2,08/22/2022
159,Torrington,US,4844309,41.8007,-73.1212,71.02,92,100,3.0,08/22/2022
160,Kalāleh,IR,129512,37.3807,55.4916,92.26,20,0,12.26,08/22/2022
161,Lypnyazhka,UA,703017,48.4469,31.0761,89.89,25,0,13.82,08/22/2022
162,Charleston,US,4574324,32.7766,-79.9309,79.02,95,75,4.61,08/22/2022
163,Lewisporte,CA,6053446,49.2499,-55.0482,73.11,56,10,9.8,08/22/2022
164,Alyangula,AU,2079582,-13.8483,136.4192,70.38,85,4,7.99,08/22/2022
165,Piney Green,US,4485355,34.716,-77.3202,77.92,100,100,9.22,08/22/2022
166,Marevo,RU,529387,57.3146,32.0804,80.46,34,100,6.98,08/22/2022
167,Moose Factory,CA,6078372,51.2585,-80.6094,53.15,92,100,7.92,08/22/2022
168,Lagoa,PT,3372964,39.05,-27.9833,73.04,76,43,9.84,08/22/2022
169,Kharagauli,GE,7667751,42.0214,43.1977,96.01,20,98,9.44,08/22/2022
170,Babstovo,RU,2027277,48.1167,132.4833,62.38,95,100,10.56,08/22/2022
171,Qandala,SO,53157,11.472,49.8728,90.52,52,68,1.25,08/22/2022
172,Christchurch,NZ,2192362,-43.5333,172.6333,49.91,87,100,6.91,08/22/2022
173,Provideniya,RU,4031574,64.3833,-173.3,48.13,70,0,1.99,08/22/2022
174,Mount Gambier,AU,2156643,-37.8333,140.7667,42.1,84,100,11.01,08/22/2022
175,Kismayo,SO,55671,-0.3582,42.5454,78.55,71,43,18.61,08/22/2022
176,Sitka,US,5557293,57.0531,-135.33,60.69,82,20,9.22,08/22/2022
177,Ambilobe,MG,1082243,-13.2,49.05,87.08,30,3,11.63,08/22/2022
178,Faanui,PF,4034551,-16.4833,-151.75,77.14,76,100,16.91,08/22/2022
179,Saldanha,ZA,3361934,-33.0117,17.9442,60.28,70,4,16.44,08/22/2022
180,Palmeira,BR,3455425,-25.4294,-50.0064,52.12,83,100,5.19,08/22/2022
181,Wilmington,US,4499379,34.2257,-77.9447,76.95,90,75,6.91,08/22/2022
182,Emba,KZ,609924,48.8264,58.1442,77.97,20,0,17.72,08/22/2022
183,Nago,JP,1856068,26.5881,127.9761,86.85,82,8,4.74,08/22/2022
184,Ferme-Neuve,CA,5952330,46.7001,-75.4493,66.06,94,100,1.92,08/22/2022
185,Āsosa,ET,343292,10.0667,34.5333,69.39,86,92,3.89,08/22/2022
186,Guerrero Negro,MX,4021858,27.9769,-114.0611,69.35,84,62,10.76,08/22/2022
187,Omboué,GA,2396853,-1.5746,9.2618,78.49,72,100,12.3,08/22/2022
188,Shimanovsk,RU,2016701,52.0,127.7,53.44,90,99,8.84,08/22/2022
189,Mokrousovo,RU,1498511,55.8103,66.7653,68.68,72,100,6.2,08/22/2022
190,Esperance,AU,2071860,-33.8667,121.9,55.69,54,67,14.12,08/22/2022
191,Zhob,PK,1162105,31.3411,69.4481,76.77,62,67,6.89,08/22/2022
192,Tazmalt,DZ,2477537,36.3868,4.3989,97.48,15,1,7.36,08/22/2022
